vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd
3041,20231127 17:02,42.28949,-83.70493499999999,184,12,CS,Lot SC-7,174,False,0,488164,488164,116COM,,0,EMPTY,61500,2023-11-27
3033,20231127 17:02,42.27855537417662,-83.73623755178856,100,12,CS,Lot SC-7,19036,False,12,488166,488166,213BB,,0,HALF_EMPTY,60300,2023-11-27
3053,20231127 17:02,42.27266315850223,-83.74065107350081,178,12,CS,Lot SC-7,24140,False,11,488167,488167,117COM,,0,FULL,59700,2023-11-27
3033,20231127 17:03,42.27845855569729,-83.73588606333183,119,12,CS,Lot SC-7,19140,False,10,488166,488166,213BB,,0,HALF_EMPTY,60300,2023-11-27
3033,20231127 17:03,42.27828005722522,-83.73555827245823,136,12,CS,Lot SC-7,19253,False,15,488166,488166,213BB,,0,HALF_EMPTY,60300,2023-11-27
3053,20231127 17:03,42.2724088297199,-83.74064520477762,178,12,CS,Lot SC-7,24234,False,7,488167,488167,117COM,,0,FULL,59700,2023-11-27
3053,20231127 17:03,42.27222105049881,-83.74064087170821,178,12,CS,Lot SC-7,24302,False,5,488167,488167,117COM,,0,FULL,59700,2023-11-27
3033,20231127 17:03,42.277878086699694,-83.7350589418696,136,12,CS,Lot SC-7,19453,False,9,488166,488166,213BB,,0,HALF_EMPTY,60300,2023-11-27
3053,20231127 17:03,42.2720981159906,-83.7406380349526,178,12,CS,Lot SC-7,24347,False,2,488167,488167,117COM,,0,FULL,59700,2023-11-27
3041,20231127 17:03,42.289489999999994,-83.70493499999999,184,12,CS,Lot SC-7,174,False,0,488164,488164,116COM,,0,EMPTY,61500,2023-11-27
3033,20231127 17:03,42.277878086699694,-83.7350589418696,136,12,CS,Lot SC-7,19453,False,9,488166,488166,213BB,,0,HALF_EMPTY,60300,2023-11-27
3053,20231127 17:03,42.2720981159906,-83.7406380349526,178,12,CS,Lot SC-7,24347,False,2,488167,488167,117COM,,0,FULL,59700,2023-11-27
